     Ranking             Name		  Percentage
-------------------------------------------------------------
       1               Sophia		     1.639
       2                 Emma		     1.617
       3               Olivia		     1.420
       4             Isabella		     1.360
       5                  Ava		     1.177
       6                  Mia		     1.016
       7                Emily		     1.015
       8              Abigail		     0.958
       9              Madison		     0.819
      10            Elizabeth		     0.727
      11            Charlotte		     0.718
      12                Avery		     0.709
      13                Sofia		     0.708
      14                Chloe		     0.678
      15                 Ella		     0.651
      16               Harper		     0.639
      17               Amelia		     0.621
      18               Aubrey		     0.617
      19              Addison		     0.597
      20               Evelyn		     0.592
      21              Natalie		     0.578
      22                Grace		     0.567
      23               Hannah		     0.562
      24                 Zoey		     0.559
      25             Victoria		     0.556
      26              Lillian		     0.546
      27                 Lily		     0.539
      28             Brooklyn		     0.532
      29             Samantha		     0.502
      30                Layla		     0.501
      31                  Zoe		     0.460
      32               Audrey		     0.433
      33                 Leah		     0.432
      34              Allison		     0.420
      35                 Anna		     0.413
      36              Aaliyah		     0.404
      37             Savannah		     0.404
      38            Gabriella		     0.402
      39               Camila		     0.399
      40                 Aria		     0.395
      41               Kaylee		     0.395
      42             Scarlett		     0.391
      43               Hailey		     0.388
      44              Arianna		     0.385
      45                Riley		     0.381
      46               Alexis		     0.369
      47               Nevaeh		     0.367
      48                Sarah		     0.360
      49               Claire		     0.360
      50                Sadie		     0.359
      51               Peyton		     0.353
      52               Aubree		     0.344
      53             Serenity		     0.343
      54               Ariana		     0.341
      55              Genesis		     0.333
      56             Penelope		     0.331
      57               Alyssa		     0.324
      58                Bella		     0.322
      59               Taylor		     0.320
      60                Alexa		     0.317
      61                Kylie		     0.311
      62            Mackenzie		     0.310
      63             Caroline		     0.308
      64              Kennedy		     0.306
      65               Autumn		     0.305
      66                 Lucy		     0.304
      67               Ashley		     0.304
      68              Madelyn		     0.304
      69               Violet		     0.303
      70               Stella		     0.302
      71              Brianna		     0.301
      72                 Maya		     0.294
      73               Skylar		     0.293
      74                Ellie		     0.291
      75                Julia		     0.289
      76               Sophie		     0.289
      77            Katherine		     0.287
      78                 Mila		     0.285
      79                Khloe		     0.284
      80              Paisley		     0.279
      81            Annabelle		     0.274
      82            Alexandra		     0.271
      83                 Nora		     0.271
      84              Melanie		     0.269
      85               London		     0.267
      86               Gianna		     0.266
      87                Naomi		     0.264
      88                  Eva		     0.263
      89                Faith		     0.260
      90             Madeline		     0.260
      91               Lauren		     0.259
      92               Nicole		     0.259
      93                 Ruby		     0.254
      94              Makayla		     0.253
      95                Kayla		     0.252
      96                Lydia		     0.250
      97                Piper		     0.246
      98               Sydney		     0.245
      99              Jocelyn		     0.244
     100               Morgan		     0.241
     101             Kimberly		     0.240
     102                Molly		     0.238
     103              Jasmine		     0.235
     104               Reagan		     0.235
     105               Bailey		     0.233
     106              Eleanor		     0.232
     107                Alice		     0.227
     108              Trinity		     0.225
     109                Rylee		     0.224
     110               Andrea		     0.218
     111               Hadley		     0.218
     112                Maria		     0.217
     113               Brooke		     0.213
     114               Mariah		     0.213
     115             Isabelle		     0.212
     116              Brielle		     0.208
     117                  Mya		     0.208
     118                Quinn		     0.205
     119               Vivian		     0.204
     120              Natalia		     0.203
     121                 Mary		     0.202
     122              Liliana		     0.202
     123               Payton		     0.202
     124                Lilly		     0.201
     125               Eliana		     0.201
     126                 Jade		     0.200
     127                 Cora		     0.200
     128                Paige		     0.199
     129            Valentina		     0.198
     130              Kendall		     0.195
     131                Clara		     0.193
     132                Elena		     0.184
     133               Jordyn		     0.184
     134              Kaitlyn		     0.184
     135              Delilah		     0.181
     136               Isabel		     0.180
     137              Destiny		     0.177
     138               Rachel		     0.177
     139                  Amy		     0.173
     140             Mckenzie		     0.171
     141            Gabrielle		     0.170
     142            Brooklynn		     0.166
     143              Katelyn		     0.165
     144                Laila		     0.165
     145               Aurora		     0.164
     146                Ariel		     0.164
     147             Angelina		     0.163
     148               Aliyah		     0.163
     149              Juliana		     0.162
     150              Vanessa		     0.162
     151              Adriana		     0.162
     152                  Ivy		     0.162
     153                 Lyla		     0.161
     154                 Sara		     0.160
     155               Willow		     0.160
     156                Reese		     0.160
     157                Hazel		     0.159
     158                 Eden		     0.157
     159                Elise		     0.155
     160            Josephine		     0.155
     161              Kinsley		     0.153
     162               Ximena		     0.152
     163              Jessica		     0.150
     164               Londyn		     0.150
     165             Makenzie		     0.150
     166               Gracie		     0.150
     167                 Isla		     0.148
     168             Michelle		     0.146
     169              Valerie		     0.145
     170                Kylee		     0.143
     171               Melody		     0.143
     172            Catherine		     0.143
     173              Adalynn		     0.143
     174                Jayla		     0.142
     175               Alexia		     0.141
     176              Valeria		     0.141
     177               Adalyn		     0.138
     178              Rebecca		     0.138
     179             Izabella		     0.138
     180               Alaina		     0.136
     181             Margaret		     0.136
     182                Alana		     0.136
     183               Alivia		     0.135
     184                 Kate		     0.134
     185                 Luna		     0.134
     186                Norah		     0.133
     187               Kendra		     0.133
     188               Summer		     0.133
     189              Ryleigh		     0.133
     190             Julianna		     0.131
     191             Jennifer		     0.131
     192                 Lila		     0.131
     193               Hayden		     0.130
     194                Emery		     0.129
     195            Stephanie		     0.129
     196               Angela		     0.127
     197                Fiona		     0.126
     198                Daisy		     0.126
     199              Presley		     0.126
     200                Eliza		     0.125
     201              Harmony		     0.125
     202              Melissa		     0.123
     203              Giselle		     0.121
     204                Keira		     0.121
     205               Kinley		     0.121
     206               Alayna		     0.120
     207           Alexandria		     0.120
     208               Emilia		     0.120
     209               Marley		     0.118
     210             Arabella		     0.118
     211              Emerson		     0.117
     212               Adelyn		     0.116
     213                Brynn		     0.115
     214                 Lola		     0.115
     215                Leila		     0.114
     216              Mckenna		     0.113
     217               Aniyah		     0.113
     218               Athena		     0.112
     219            Genevieve		     0.112
     220                Allie		     0.112
     221             Gabriela		     0.112
     222              Daniela		     0.111
     223              Cecilia		     0.111
     224                 Rose		     0.109
     225             Adrianna		     0.109
     226               Callie		     0.109
     227                Jenna		     0.109
     228               Esther		     0.109
     229                Haley		     0.109
     230              Leilani		     0.107
     231               Maggie		     0.107
     232              Adeline		     0.106
     233                 Hope		     0.106
     234               Jaylah		     0.106
     235                Amaya		     0.105
     236                 Maci		     0.104
     237                  Ana		     0.103
     238               Juliet		     0.103
     239           Jacqueline		     0.103
     240              Charlie		     0.102
     241                Lucia		     0.102
     242                Tessa		     0.102
     243              Camille		     0.102
     244                Katie		     0.101
     245              Miranda		     0.101
     246                 Lexi		     0.100
     247              Makenna		     0.100
     248                 Jada		     0.099
     249              Delaney		     0.098
     250              Cassidy		     0.098
     251                Alina		     0.097
     252              Georgia		     0.097
     253                 Iris		     0.096
     254               Ashlyn		     0.096
     255               Kenzie		     0.096
     256                Megan		     0.096
     257            Anastasia		     0.096
     258                Paris		     0.096
     259               Shelby		     0.095
     260               Jordan		     0.095
     261             Danielle		     0.095
     262             Lilliana		     0.095
     263               Sienna		     0.094
     264               Teagan		     0.094
     265                Josie		     0.094
     266                Angel		     0.094
     267               Parker		     0.093
     268              Mikayla		     0.092
     269              Brynlee		     0.091
     270                Diana		     0.091
     271              Chelsea		     0.091
     272              Kathryn		     0.091
     273                 Erin		     0.090
     274            Annabella		     0.090
     275             Kaydence		     0.090
     276                Lyric		     0.090
     277                 Arya		     0.088
     278            Madeleine		     0.088
     279             Kayleigh		     0.088
     280             Vivienne		     0.087
     281              Sabrina		     0.087
     282                 Cali		     0.087
     283              Raelynn		     0.086
     284               Leslie		     0.086
     285              Kyleigh		     0.086
     286                 Ayla		     0.086
     287                 Nina		     0.086
     288                Amber		     0.085
     289             Daniella		     0.085
     290               Finley		     0.085
     291                Olive		     0.084
     292               Miriam		     0.084
     293               Dakota		     0.084
     294              Elliana		     0.083
     295             Juliette		     0.083
     296               Noelle		     0.083
     297               Alison		     0.083
     298               Amanda		     0.082
     299           Alessandra		     0.082
     300           Evangeline		     0.082
